EASERA 1.0, Results of Data:   m_ABS_7_S01_R01 : Measures
Reverb. Times (1/3rd Oct.)

          	 	EDT (1/3rd Oct.)	T10 (1/3rd Oct.)	T20 (1/3rd Oct.)	T30 (1/3rd Oct.)	
100 Hz    	s	3,06            	3,01            	3,36            	3,87            	
125 Hz    	s	3,61            	2,74            	3,12            	3,23            	
160 Hz    	s	2,95            	2,62            	3,10            	3,09            	
200 Hz    	s	2,89            	2,97            	2,91            	5,25            	
250 Hz    	s	3,78            	3,72            	3,22            	3,43            	
315 Hz    	s	3,10            	3,17            	3,13            	3,31            	
400 Hz    	s	3,95            	2,62            	2,91            	3,06            	
500 Hz    	s	2,83            	3,27            	3,11            	3,02            	
630 Hz    	s	2,73            	3,00            	2,99            	2,95            	
800 Hz    	s	3,05            	3,01            	3,01            	2,96            	
1000 Hz   	s	2,65            	2,96            	2,90            	2,89            	
1250 Hz   	s	2,57            	2,54            	2,67            	2,67            	
1600 Hz   	s	2,40            	2,46            	2,41            	2,54            	
2000 Hz   	s	2,36            	2,29            	2,36            	2,48            	
2500 Hz   	s	2,22            	2,45            	2,39            	2,41            	
3150 Hz   	s	2,21            	2,29            	2,21            	2,21            	
4000 Hz   	s	2,01            	2,12            	2,00            	1,96            	
5000 Hz   	s	1,68            	1,85            	1,81            	1,78            	
6300 Hz   	s	1,35            	1,36            	1,50            	1,48            	
8000 Hz   	s	1,17            	1,20            	1,19            	1,17            	
10000 Hz  	s	0,88            	0,95            	0,92            	0,94            	
250Hz-2kHz	s	2,88            	2,87            	2,84            	3,08            	
500Hz-4kHz	s	2,56            	2,57            	2,57            	2,58            	

