EASERA 1.0, Results of Data:   m_ABS_Wall_4_S01_R01 : Measures
Reverb. Times (1/3rd Oct.)

          	 	EDT (1/3rd Oct.)	T10 (1/3rd Oct.)	T20 (1/3rd Oct.)	T30 (1/3rd Oct.)	
100 Hz    	s	2,80            	3,28            	2,93            	2,68            	
125 Hz    	s	2,99            	3,25            	3,38            	3,59            	
160 Hz    	s	2,47            	2,80            	3,63            	3,49            	
200 Hz    	s	3,03            	3,56            	3,39            	3,49            	
250 Hz    	s	3,28            	2,92            	3,29            	3,54            	
315 Hz    	s	3,23            	3,58            	3,26            	3,19            	
400 Hz    	s	2,79            	3,11            	3,36            	3,29            	
500 Hz    	s	3,47            	3,12            	2,95            	3,02            	
630 Hz    	s	2,94            	3,31            	3,00            	3,01            	
800 Hz    	s	3,33            	3,39            	3,15            	3,09            	
1000 Hz   	s	2,90            	3,38            	3,04            	2,95            	
1250 Hz   	s	2,48            	2,86            	2,75            	2,74            	
1600 Hz   	s	2,45            	2,74            	2,56            	2,55            	
2000 Hz   	s	2,60            	2,59            	2,50            	2,45            	
2500 Hz   	s	2,41            	2,42            	2,39            	2,40            	
3150 Hz   	s	2,08            	2,27            	2,33            	2,28            	
4000 Hz   	s	1,98            	2,07            	2,05            	2,06            	
5000 Hz   	s	1,81            	1,81            	1,77            	1,76            	
6300 Hz   	s	1,49            	1,52            	1,55            	1,53            	
8000 Hz   	s	1,11            	1,13            	1,22            	1,23            	
10000 Hz  	s	0,97            	0,96            	0,91            	0,92            	
250Hz-2kHz	s	2,91            	3,08            	2,97            	2,98            	
500Hz-4kHz	s	2,60            	2,76            	2,65            	2,63            	

