EASERA 1.0, Results of Data:   u_ABS_1_S01_R01 : Measures
Reverb. Times (1/3rd Oct.)

          	 	EDT (1/3rd Oct.)	T10 (1/3rd Oct.)	T20 (1/3rd Oct.)	T30 (1/3rd Oct.)	
100 Hz    	s	5,69            	6,42            	6,76            	7,10            	
125 Hz    	s	5,37            	5,33            	5,93            	5,99            	
160 Hz    	s	4,49            	4,39            	5,15            	5,58            	
200 Hz    	s	4,49            	5,25            	5,22            	6,80            	
250 Hz    	s	4,76            	4,86            	4,95            	5,65            	
315 Hz    	s	4,98            	5,16            	4,98            	5,71            	
400 Hz    	s	4,37            	5,17            	5,03            	5,16            	
500 Hz    	s	4,51            	4,64            	4,90            	5,28            	
630 Hz    	s	4,89            	4,81            	4,85            	4,85            	
800 Hz    	s	4,31            	4,88            	4,97            	4,86            	
1000 Hz   	s	4,21            	4,69            	4,89            	4,66            	
1250 Hz   	s	4,28            	4,18            	4,20            	4,16            	
1600 Hz   	s	3,70            	4,02            	3,93            	3,84            	
2000 Hz   	s	3,55            	3,79            	3,60            	3,57            	
2500 Hz   	s	3,39            	3,33            	3,24            	3,33            	
3150 Hz   	s	3,03            	2,90            	2,98            	2,98            	
4000 Hz   	s	2,65            	2,78            	2,61            	2,60            	
5000 Hz   	s	2,18            	2,12            	2,18            	2,21            	
6300 Hz   	s	1,76            	1,78            	1,74            	1,73            	
8000 Hz   	s	1,29            	1,32            	1,35            	1,34            	
10000 Hz  	s	1,04            	0,98            	1,00            	0,99            	
250Hz-2kHz	s	4,29            	4,56            	4,56            	4,82            	
500Hz-4kHz	s	3,76            	3,94            	3,95            	3,96            	

